Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,71,67.330431,71.2,70.929888,69.963045,69.258539,63.996855,72.3,76.0442504882813,68.288209,76.211281,80.156567,84.674991,86.765597,88.3128128051758,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,92.8,96.3031005859375,..
Bolivia,BOL,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.8631957906397,34.0385858026401,34.1382811778824,34.218591341272,34.2869011354195,34.2989015046617,34.4419828302409,33.829040893566,33.8013477337764,34.119819071356,34.2582848703037,34.51490815102,34.6026031570202,34.7761469583679,34.6312194221361,34.6690667405151,34.755838641189,34.8361488045786,34.8029170128312,34.7650696944521,34.7872242222838,34.6053724729992,34.8259946459891,..,..
Bolivia,BOL,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5600,5700,5700,5700,6000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,9.80671173151101,8.91273832258213,5.40593172466798,3.65723190852355,2.95989328012156,2.47377274426705,2.28237639973492,2.02024465779266,1.88390187594857,1.74540851571511,1.59011267306007,1.5195647068289,1.09556428376393,1.24456440928453,1.06928445781095,0.726726067095315,0.491816667752421,0.449728074203837,0.432956461036436,0.515341773471258,..,..,..,..,..
Bolivia,BOL,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,1.39618737218814,1.19342105009535,0.942710304838363,1.06899489149044,1.61033225897019,1.5928427207039,1.08602796054816,1.4801551808434,1.77134565355892,1.43312961567375,1.32667674322336,1.12768922984888,0.885181201843058,0.724067234663754,0.692193981259304,0.64195300826104,0.53663676890625,0.512998881959481,0.496700228538635,0.52804637435098,..,..,..,..,..
Bolivia,BOL,Arable land (% of land area),AG.LND.ARBL.ZS,2.4831533277947,2.65115849718453,2.74531524046894,2.83393335179544,2.90224314594295,2.90778177790086,3.04624757684852,3.24379211668051,3.30379396289117,3.51333887196529,3.60472629927075,3.85027231607126,3.93796732207145,4.11151112341918,3.9665835871873,4.00443090556633,4.08197175297702,4.1595126003877,4.12535770331395,4.07643312101911,4.0967414381981,3.91488968891351,4.13551186190344,..,..
Bolivia,BOL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,380,387,385,398,405,320,418,375,450,430,455,585,631,775,856,966,1060,1076,1400,2987.5,3250,3500,3500,..,..
Bolivia,BOL,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,0.247270002961159,0.0264899991452694,0.135940000414848,0.325890004634857,0.33720999956131,0.508650004863739,0.74015998840332,0.596830010414124,0.548889994621277,0.485029995441437,0.252959996461868,2.22463011741638,5.14037990570068,7.71413993835449,10.6510801315308,11.2553701400757,11.4354696273804,11.0369596481323,10.015419960022,8.43424987792969,6.78708982467651,5.32310009002686,..
Bolivia,BOL,"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,..,..,..,..,..,..,15.2,..,..,8.1,..,..,5.2,7.2,..,..,..,7.391486,..,6.72,..,..,..,..,..
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.04380000791848,1.04315578309566,1.06338818695525,0.964022813914773,0.950314019388782,0.919554269086054,0.941343653113377,1.02292658059561,1.03869823544797,1.090735668172,1.18780911907456,1.25962003415202,1.33930541481591,1.40316587403475,1.49672635891359,1.61069998279635,1.66222170915514,1.76051411565231,1.88389931104579,1.8776911887064,1.95887859684466,1.98787565601013,2.00032766265544,..,..
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,8120,8280,8610,7960,8000,7890,8230,9110,9420,10070,11160,12040,13020,13870,15040,16450,17250,18560,20170,20410,21610,22250,22710,..,..
Bolivia,BOL,"Cost to export, documentary compliance (US$)",IC.EXP.CSDC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,25,25,25,25,25,..
Bolivia,BOL,"Cost to export, border compliance (US$)",IC.EXP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65,65,65,65,65,65,..
Bolivia,BOL,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,315,315,315,315,315,315,..
Bolivia,BOL,"Cost to import, documentary compliance (US$)",IC.IMP.CSDC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,30,30,30,30,30,..
